 initial abundance for selected isotopes
  731   0.00000E+00  FE 84
  732   0.00000E+00  FE 85
  733   0.00000E+00  FE 86
  734   0.00000E+00  FE 87
  735   0.00000E+00  FE 88
  736   0.00000E+00  FE 89
  737   0.00000E+00  FE 90
  738   0.00000E+00  FE 91
  739   0.00000E+00  FE 92
  740   0.00000E+00  CO 44
  741   0.00000E+00  CO 45
  742   0.00000E+00  CO 46
  743   0.00000E+00  CO 47
  744   0.00000E+00  CO 48
  745   0.00000E+00  CO 49
  746   0.00000E+00  CO 50
  747   0.00000E+00  CO 51
  748   0.00000E+00  CO 52
  749   0.00000E+00  CO 53
  750   0.00000E+00  CO 54
  751   7.33939E-12  CO 55
  752   2.26334E-11  CO 56
  753   4.28161E-07  CO 57
  754   2.03216E-07  CO 58
  755   4.52472E-05  CO 59
  756   8.74683E-06  CO 60
  757   1.65605E-05  CO 61
  758   5.53806E-08  CO 62
  759   1.57950E-08  CO 63
  760   2.16833E-18  CO 64
  761   1.00468E-27  CO 65
  762   0.00000E+00  CO 66
  763   0.00000E+00  CO 67
  764   0.00000E+00  CO 68
  765   0.00000E+00  CO 69
  766   0.00000E+00  CO 70
  767   0.00000E+00  CO 71
  768   0.00000E+00  CO 72
  769   0.00000E+00  CO 73
  770   0.00000E+00  CO 74
  771   0.00000E+00  CO 75
  772   0.00000E+00  CO 76
  773   0.00000E+00  CO 77
  774   0.00000E+00  CO 78
  775   0.00000E+00  CO 79
  776   0.00000E+00  CO 80
  777   0.00000E+00  CO 81
  778   0.00000E+00  CO 82
  779   0.00000E+00  CO 83
  780   0.00000E+00  CO 84
  781   0.00000E+00  CO 85
  782   0.00000E+00  CO 86
  783   0.00000E+00  CO 87
  784   0.00000E+00  CO 88
  785   0.00000E+00  CO 89
  786   0.00000E+00  CO 90
  787   0.00000E+00  CO 91
  788   0.00000E+00  CO 92
  789   0.00000E+00  CO 93
  790   0.00000E+00  CO 94
  791   0.00000E+00  CO 95
  792   0.00000E+00  CO 96
  793   0.00000E+00  NI 46
  794   0.00000E+00  NI 47
  795   0.00000E+00  NI 48
  796   0.00000E+00  NI 49
  797   0.00000E+00  NI 50
  798   0.00000E+00  NI 51
  799   0.00000E+00  NI 52
  800   0.00000E+00  NI 53
  801   0.00000E+00  NI 54
  802   0.00000E+00  NI 55
  803   1.46075E-16  NI 56
  804   7.70521E-15  NI 57
  805   5.39158E-08  NI 58
  806   6.86770E-08  NI 59
  807   1.74294E-05  NI 60
  808   1.01166E-05  NI 61
  809   8.40128E-05  NI 62
  810   9.65068E-06  NI 63
  811   4.16349E-05  NI 64
  812   5.48398E-08  NI 65
  813   4.75567E-08  NI 66
  814   1.67096E-12  NI 67
  815   5.66075E-14  NI 68
  816   7.68375E-25  NI 69
  817   0.00000E+00  NI 70
  818   0.00000E+00  NI 71
  819   0.00000E+00  NI 72
  820   0.00000E+00  NI 73
  821   0.00000E+00  NI 74
  822   0.00000E+00  NI 75
  823   0.00000E+00  NI 76
  824   0.00000E+00  NI 77
  825   0.00000E+00  NI 78
  826   0.00000E+00  NI 79
  827   0.00000E+00  NI 80
  828   0.00000E+00  NI 81
  829   0.00000E+00  NI 82
  830   0.00000E+00  NI 83
  831   0.00000E+00  NI 84
  832   0.00000E+00  NI 85
  833   0.00000E+00  NI 86
  834   0.00000E+00  NI 87
  835   0.00000E+00  NI 88
  836   0.00000E+00  NI 89
  837   0.00000E+00  NI 90
  838   0.00000E+00  NI 91
  839   0.00000E+00  NI 92
  840   0.00000E+00  NI 93
  841   0.00000E+00  NI 94
  842   0.00000E+00  NI 95
  843   0.00000E+00  NI 96
  844   0.00000E+00  NI 97
  845   0.00000E+00  NI 98
  846   0.00000E+00  NI 99
  847   0.00000E+00  CU 48
  848   0.00000E+00  CU 49
  849   0.00000E+00  CU 50
  850   0.00000E+00  CU 51
  851   0.00000E+00  CU 52
  852   0.00000E+00  CU 53
  853   0.00000E+00  CU 54
  854   0.00000E+00  CU 55
  855   0.00000E+00  CU 56
  856   0.00000E+00  CU 57
  857   0.00000E+00  CU 58
  858   1.64957E-20  CU 59
  859   1.69900E-13  CU 60
  860   4.74306E-10  CU 61
  861   5.00052E-09  CU 62
  862   1.97899E-06  CU 63
  863   9.23281E-07  CU 64
  864   1.52129E-05  CU 65
  865   5.82345E-07  CU 66
  866   4.13233E-06  CU 67
  867   3.16717E-09  CU 68
  868   2.82320E-09  CU 69
  869   6.49567E-15  CU 70
  870   1.42169E-15  CU 71
  871   1.87546E-25  CU 72
  872   0.00000E+00  CU 73
  873   0.00000E+00  CU 74
  874   0.00000E+00  CU 75
  875   0.00000E+00  CU 76
  876   0.00000E+00  CU 77
  877   0.00000E+00  CU 78
  878   0.00000E+00  CU 79
  879   0.00000E+00  CU 80
  880   0.00000E+00  CU 81
  881   0.00000E+00  CU 82
  882   0.00000E+00  CU 83
  883   0.00000E+00  CU 84
  884   0.00000E+00  CU 85
  885   0.00000E+00  CU 86
  886   0.00000E+00  CU 87
  887   0.00000E+00  CU 88
  888   0.00000E+00  CU 89
  889   0.00000E+00  CU 90
